Id,Gender,MembershipCard,Age,Status,Income,VisitNo,Method,SpendPurchase,ProductRate,PriceRate,PromoRate,AmbianceRate,WifiRate,ServiceRate,ChooseRate
52,Female,Yes,1,2,1,3,2,2,4,3,5,4,4,5,5
53,Female,Yes,1,2,1,2,2,1,4,3,4,3,2,3,4
54,Female,No,1,2,0,3,1,2,5,4,3,4,3,3,3
55,Male,Yes,0,0,0,2,0,1,5,5,5,5,5,5,5
56,Male,No,0,0,0,2,0,1,3,3,3,3,4,3,3
57,Female,No,1,0,0,3,1,1,4,3,4,4,3,4,3
58,Male,Yes,1,0,0,3,0,3,2,1,5,1,4,3,3
59,Female,No,1,2,0,3,1,2,5,4,3,4,3,3,3
60,Male,No,2,0,0,3,0,2,3,3,4,3,3,3,3
61,Male,Yes,1,2,0,3,2,1,4,2,3,5,4,4,5
62,Female,No,1,2,0,3,2,0,3,1,5,3,4,4,5
63,Female,No,1,0,0,3,0,1,4,3,2,4,3,4,4
64,Female,Yes,1,1,1,2,0,2,4,3,4,5,4,4,4
65,Female,No,1,2,0,3,0,0,2,1,5,4,4,4,1
66,Female,Yes,1,2,1,3,0,1,3,3,5,4,3,3,4
67,Female,No,1,2,0,3,2,1,4,3,4,5,5,5,3
68,Male,Yes,1,2,1,1,2,2,5,1,3,3,2,3,3
69,Female,Yes,1,2,0,2,2,1,4,2,4,4,3,4,3
70,Male,Yes,2,2,0,3,2,1,3,2,4,4,4,5,4
71,Female,No,1,3,2,3,1,2,3,2,3,3,3,5,4
72,Male,Yes,1,2,1,3,2,1,3,3,4,5,4,4,4
73,Male,No,1,2,0,3,2,1,4,2,5,3,2,4,4
74,Male,Yes,1,2,2,2,0,2,4,2,1,4,1,4,4
75,Female,No,1,0,0,3,2,1,2,1,5,2,2,2,2
76,Female,No,0,0,0,3,2,1,2,2,3,2,2,2,2
77,Female,Yes,1,2,2,2,1,2,3,2,4,3,1,3,3
78,Male,Yes,1,1,2,3,0,1,5,5,5,5,5,5,5
79,Male,Yes,2,1,2,1,2,1,4,4,2,4,3,4,5
80,Male,No,1,2,1,3,0,2,4,2,4,3,4,4,4
81,Male,Yes,2,1,4,2,0,2,4,3,4,4,3,4,4
82,Male,Yes,1,1,4,3,1,3,4,3,2,3,1,2,2
83,Female,Yes,1,2,0,3,0,2,3,3,3,4,3,3,3
84,Female,Yes,1,2,1,3,2,2,4,4,4,4,4,4,4
85,Male,Yes,1,1,1,3,0,0,5,5,5,5,4,5,5
86,Female,Yes,2,2,2,1,0,2,4,4,5,4,4,5,4
87,Female,Yes,2,2,1,2,2,2,4,3,4,5,5,4,5
88,Female,Yes,1,2,0,3,2,1,5,3,5,5,4,4,1
89,Male,Yes,1,2,2,2,2,2,3,1,3,3,1,3,2
90,Female,Yes,1,2,1,3,0,1,3,3,5,4,3,3,4
91,Female,No,1,1,0,3,2,1,3,3,1,4,3,4,4
92,Female,No,2,2,0,3,5,2,3,3,3,3,3,3,3
93,Female,Yes,1,2,1,3,1,2,4,3,4,3,3,4,4
94,Male,Yes,2,2,0,3,1,1,4,2,3,4,4,4,4
95,Male,No,1,0,0,3,1,2,3,2,3,3,3,3,3
96,Male,No,1,0,0,3,0,1,3,4,3,3,1,2,3
97,Male,Yes,1,1,2,0,1,2,4,2,4,4,3,3,3
98,Male,No,2,2,1,1,0,3,4,5,5,4,4,3,3
99,Male,No,0,0,0,3,1,1,4,4,4,4,4,4,4
100,Male,No,3,2,2,2,1,2,4,3,5,4,4,4,4
101,Male,No,1,0,0,3,2,2,3,3,3,3,3,3,3
102,Male,No,1,0,0,3,0,1,3,3,3,3,3,3,2
103,Male,No,1,0,0,3,2,0,4,2,3,5,4,4,2
104,Female,No,1,2,0,2,2,1,5,4,4,4,4,4,4
105,Female,No,0,0,0,3,2,1,3,4,5,5,5,4,4
106,Male,No,3,1,1,3,0,1,2,2,1,2,2,3,2
107,Male,No,0,0,0,0,2,2,5,5,5,5,5,5,5
108,Male,No,2,0,0,2,0,1,4,4,5,4,2,3,4
109,Male,Yes,3,1,1,2,0,2,3,3,5,3,2,4,4
110,Male,Yes,1,2,0,2,0,3,5,5,5,5,5,5,5
111,Male,No,1,0,0,3,0,1,3,2,4,3,3,3,4
112,Female,No,1,2,0,3,2,1,4,4,4,4,4,4,4
113,Male,No,1,2,2,3,0,1,1,1,5,4,3,3,2
